permit,year,annual_total,annual_avg
AA1981G025,1997,183021000,501427
AA1981G026,1997,286221000,784167
AA1982G036,1997,155694000,426559
AA1982G037,1997,648225000,1775959
AA1982G039,1997,237229000,649942
AA1982G044,1997,246459000,675230
AA1986G070,1997,1353000,3707
AA1987G069,1997,864134000,2367490
AA1953G008,1998,2303638000,6311337
AA1953G108,1998,105930000,290219
AA1968G006,1998,281289000,770655
AA1969G019,1998,1245561000,3412496
AA1972G005,1998,599947000,1643690
AA1972G105,1998,964099000,2641367
AA1981G025,1998,198711000,544414
AA1981G026,1998,326453000,894392
AA1982G036,1998,330481000,905427
AA1982G037,1998,777684000,2130641
AA1982G039,1998,226615000,620863
AA1982G044,1998,187369000,513340
AA1986G070,1998,490301000,1343290
AA1987G069,1998,718020000,1967178
AA1953G008,1999,2368551000,6489181
AA1953G108,1999,105757000,289745
AA1968G006,1999,191401000,524386
AA1969G019,1999,1029290000,2819973
AA1972G005,1999,567267000,1554156
AA1972G105,1999,983446000,2694373
AA1981G025,1999,261201000,715619
AA1981G026,1999,322584000,883792
AA1982G036,1999,270431000,740907
AA1982G037,1999,775847000,2125608
AA1982G039,1999,235205000,644397
AA1982G044,1999,0,0
AA1986G070,1999,568339000,1557093
AA1987G069,1999,1048738000,2873255
AA1953G008,2000,2155311000,5888828
AA1953G108,2000,111941000,305850
AA1968G006,2000,282812000,772710
AA1969G019,2000,1028966000,2811383
AA1972G005,2000,695892000,1901344
AA1972G105,2000,763401000,2085795
AA1981G025,2000,329718000,900869
AA1981G026,2000,328200000,896721
AA1982G036,2000,312414000,853590
AA1982G037,2000,787423000,2151429
AA1982G039,2000,220869000,603467
AA1982G044,2000,0,0
AA1986G070,2000,466448000,1274448
AA1987G069,2000,923384000,2522907
AA1953G008,2001,2241465000,6141000
AA1953G108,2001,132538000,363118
AA1968G006,2001,253385000,694205
AA1969G019,2001,1091959000,2991668
AA1972G005,2001,827727000,2267745
AA1972G105,2001,1103930000,3024466
AA1981G025,2001,295484000,809545
AA1981G026,2001,215809000,591258
AA1982G036,2001,459785000,1259685
AA1982G037,2001,777980000,2131452
AA1982G039,2001,207081000,567345
AA1982G044,2001,0,0
AA1986G070,2001,587922000,1610745
AA1987G069,2001,723945000,1983411
AA1953G008,2002,2274332000,6231047
AA1953G108,2002,51577000,141307
AA1968G006,2002,259696000,711496
AA1969G019,2002,1071399000,2935340
AA1972G005,2002,1200683000,3289542
AA1972G105,2002,851424000,2332668
AA1981G025,2002,269941000,739564
AA1981G026,2002,234580000,642685
AA1982G036,2002,512184000,1403244
AA1982G037,2002,776766000,2128126
AA1982G039,2002,192009000,526052
AA1982G044,2002,0,0
AA1986G070,2002,659954000,1808093
AA1987G069,2002,753272000,2063759
AA1953G008,2003,2198908000,6024405
AA1953G108,2003,2984000,8175
AA1968G006,2003,137588000,376953
AA1969G019,2003,1278847000,3503690
AA1972G005,2003,1228679000,3366244
AA1972G105,2003,701079000,1920764
AA1981G025,2003,308012000,843868
AA1981G026,2003,244590000,670110
AA1982G036,2003,527790000,1446000
AA1982G037,2003,772998000,2117803
AA1982G039,2003,121045000,331630
AA1982G044,2003,0,0
AA1986G070,2003,698245000,1913000
AA1987G069,2003,591037000,1619279
AA1953G008,2004,2265438000,6189721
AA1953G108,2004,114629000,313194
AA1968G006,2004,7363000,20117
AA1969G019,2004,1356581000,3706505
AA1972G005,2004,1210758000,3308082
AA1972G105,2004,608425000,1662363
AA1981G025,2004,299904000,819410
AA1981G026,2004,157160000,429399
AA1982G036,2004,469163000,1281866
AA1982G037,2004,711129000,1942975
AA1982G039,2004,188995000,516380
AA1982G044,2004,0,0
AA1986G070,2004,856105000,2339085
AA1987G069,2004,677177000,1850210
AA1953G008,2005,2345148000,6425063
AA1953G108,2005,179246000,491085
AA1953G208,2005,0,0
AA1968G006,2005,10851000,29729
AA1969G019,2005,1282927000,3514868
AA1972G005,2005,868456000,2379332
AA1972G105,2005,746858000,2046186
AA1981G025,2005,299101000,819455
AA1981G026,2005,347619000,952381
AA1982G036,2005,899974000,2465682
AA1982G037,2005,657400000,1801096
AA1982G039,2005,22091000,60523
AA1982G044,2005,0,0
AA1986G070,2005,973105000,2666041
AA1987G069,2005,241246000,660948
AA1953G008,2006,2385715000,6536205
AA1953G108,2006,128296000,351496
AA1953G208,2006,0,0
AA1968G006,2006,167429000,458710
AA1969G019,2006,1532267000,4197992
AA1972G005,2006,776231000,2126660
AA1972G105,2006,1129968000,3095803
AA1981G025,2006,287672000,788142
AA1981G026,2006,315646000,864784
AA1982G036,2006,192974000,528696
AA1982G037,2006,703204000,1926586
AA1982G039,2006,44823000,122803
AA1982G044,2006,0,0
AA1986G070,2006,943297000,2584375
AA1987G069,2006,965601000,2645482
AA1953G008,2007,2062338000,5650241
AA1953G108,2007,98106000,268784
AA1953G208,2007,0,0
AA1968G006,2007,42030000,115151
AA1969G019,2007,1552302000,4252882
AA1972G005,2007,701196000,1921085
AA1972G105,2007,1373749000,3763696
AA1981G025,2007,289421000,792934
AA1981G026,2007,289368000,792789
AA1982G036,2007,378408000,1036734
AA1982G037,2007,679379000,1861312
AA1982G039,2007,73833000,202282
AA1982G044,2007,0,0
AA1986G070,2007,1183629000,3242819
AA1987G069,2007,953494000,2612312
AA1953G008,2008,2018666000,5515481
AA1953G108,2008,122562000,334869
AA1953G208,2008,0,0
AA1968G006,2008,15353000,41948
AA1969G019,2008,1556303000,4252194
AA1972G005,2008,795722000,2174104
AA1972G105,2008,1203566000,3288432
AA1981G025,2008,290590000,793962
AA1981G026,2008,301677000,824254
AA1982G036,2008,603410000,1648661
AA1982G037,2008,692609700,1892376
AA1982G039,2008,62567000,170948
AA1982G044,2008,0,0
AA1986G070,2008,1166387000,3186850
AA1987G069,2008,616985000,1685751
AA1953G008,2009,2021001000,5536989
AA1953G108,2009,97613000,267433
AA1953G208,2009,0,0
AA1968G006,2009,71769000,196627
AA1969G019,2009,1579493000,4327378
AA1972G005,2009,741106000,2030427
AA1972G105,2009,1143287000,3132293
AA1981G025,2009,288924000,791573
AA1981G026,2009,308224000,844449
AA1982G036,2009,892798000,2446022
AA1982G037,2009,719390000,1970932
AA1982G039,2009,70676000,193633
AA1982G044,2009,0,0
AA1986G070,2009,1111271000,3044578
AA1987G069,2009,730444000,2001216
AA1953G008,2010,2392073000,6553625
AA1953G108,2010,56995000,156151
AA1953G208,2010,0,0
AA1968G006,2010,501966000,1375249
AA1969G019,2010,1511304000,4140559
AA1972G005,2010,773083000,2118036
AA1972G105,2010,1311194000,3592312
AA1981G025,2010,185124000,507189
AA1981G026,2010,293394000,803819
AA1982G036,2010,1239259000,3395230
AA1982G037,2010,661610000,1812630
AA1982G039,2010,65364000,179079
AA1982G044,2010,0,0
AA1986G070,2010,785090000,2150932
AA1987G069,2010,1130346000,3096838
AA1953G008,2011,2576754000,7059600
AA1953G108,2011,29994000,82175
AA1953G208,2011,1293000,3542
AA1968G006,2011,403678000,1105967
AA1972G005,2011,860427000,2357334
AA1972G105,2011,1292381000,3540770
AA1981G025,2011,282766000,774701
AA1981G026,2011,288311000,789893
AA1982G036,2011,1443730000,3955425
AA1982G037,2011,498388000,1365447
AA1982G039,2011,68153000,186721
AA1982G044,2011,0,0
AA1986G070,2011,651381000,1784605
AA1987G069,2011,1631855000,4470836
AA1953G008,2012,2057992000,5622929
AA1953G108,2012,5948000,16251
AA1953G208,2012,0,0
AA1968G006,2012,400243000,1093560
AA1969G019,2012,1454243000,3984227.397
AA1972G005,2012,1205925000,3294877
AA1972G105,2012,1185790000,3239863
AA1981G025,2012,280999000,767757
AA1981G026,2012,287331000,785057
AA1982G036,2012,1130628000,3089148
AA1982G037,2012,121052200,330744
AA1982G039,2012,57614000,157415
AA1982G044,2012,0,0
AA1986G070,2012,776090000,2120464
AA1987G069,2012,565047000,1543844
AA2005G020,2012,565047000,1543844
AA1953G008,2013,1630372000,4466773
AA1953G108,2013,29264000,80175
AA1953G208,2013,0,0
AA1968G006,2013,310912000,851814
AA1969G019,2013,1631733000,4470501
AA1972G005,2013,900428000,2466926
AA1972G105,2013,1281696000,3511496
AA1981G025,2013,289627000,793499
AA1981G026,2013,300013000,821953
AA1982G036,2013,1373203000,3762200
AA1982G037,2013,125897000,344923
AA1982G039,2013,0,0
AA1982G044,2013,0,0
AA1986G070,2013,745971000,2043756
AA1987G069,2013,1039073000,2846775
AA2005G020,2013,1003672000,2749786
AA1953G008,2014,1838508000,5037008
AA1953G108,2014,40541000,111071
AA1953G208,2014,0,0
AA1968G006,2014,319931000,876523
AA1969G019,2014,1439630165,3944192
